t,inp,resp,fit
0,0,-0.0655100004140962,-0.140218945962956
0.02,0,-0.0992075519267038,-0.108825798873982
0.04,0,-0.115180281323896,-0.084461157650473
0.06,0,-0.103269669082162,-0.0655514338095391
0.08,0,-0.0773554857981801,-0.0508753442886574
0.1,0,-0.0940151397506554,-0.0394850349728395
0.12,0,-0.117022896435027,-0.030644863609384
0.14,0,-0.0646696351536047,-0.0237838884094627
0.16,0,-0.0371905302835469,-0.0184589938165219
0.18,0,-0.0279881815280912,-0.0143262719220809
0.2,0,0.00207878902936516,-0.0111188111998662
0.22,0,-0.0181748965487807,-0.00862945804537776
0.24,0,-0.0529506829089818,-0.00669743777624633
0.26,0,-0.048134473195971,-0.00519797101171582
0.28,1.0680080711897,-0.0364264657380035,-0.00403421480591658
0.3,4.07999996595569,-0.0103610378517051,-0.00313100805364135
0.32,4.07999998142165,0.0473335417498538,-0.00243001721613575
0.34,4.0799999968876,0.0965077349886232,-0.00188596885397617
0.36,4.07999988487945,0.165348567211234,-0.0014637256454604
0.38,4.07999994757881,0.266091349565067,-0.00113601704538305
0.4,4.08000004819986,0.756707211744968,0.224010133312243
0.42,4.07999997769088,1.37698612607948,1.03298801667301
0.44,4.07999999527573,1.97572008844388,1.66084657230661
0.46,4.08000008519402,2.36838745189094,2.14813599588702
0.48,4.08000009959205,2.68766029979533,2.52632780964396
0.5,4.08000006666946,2.82751995934592,2.81984754642646
0.52,4.08000006684253,2.94942582676878,3.04765216007703
0.54,4.08000006936265,3.28981597316957,3.22445435193203
0.56,4.08000006951086,3.35211426871746,3.36167290081191
0.58,4.07999998263971,3.37889832755842,3.46817007032466
0.6,4.08000005500592,3.38909930616824,3.55082395062285
0.62,4.08000002147854,3.58213648579662,3.61497272538105
0.64,4.07999990918171,3.62701410946668,3.664759447261
0.66,4.07999991841471,3.6478921385786,3.7033995883568
0.68,4.07999998152114,3.6468055922067,3.73338871856207
0.7,4.08000004655806,3.66418476152698,3.75666366521601
0.72,4.08000008892742,3.70241397717752,3.7747276777691
0.74,4.08000010416678,3.72914006757066,3.7887473923913
0.76,4.08000014489189,3.74713272291087,3.79962825672518
0.78,4.08000016242365,3.76669537402036,3.8080730429704
0.8,4.07999998716978,3.7738463770626,3.81462716778164
0.82,1.90235836759524,3.82820564352415,3.81971392537984
0.84,1.48800003118998,3.79273006269961,3.82366183489022
0.86,1.48799998809854,3.75827613333958,3.82672586345896
0.88,1.48799993034144,3.75027633389351,3.82910390557679
0.9,1.48799999992395,3.62831404615068,3.83094953955368
0.92,1.48800002709584,3.38652877229243,3.83238192385828
0.94,1.48800002778776,3.17653994557593,3.37494486438906
0.96,1.48800002935077,3.10682483896391,2.9326698866472
0.98,1.48800003091378,2.71901475862297,2.58941435354851
1,1.48800004192076,2.31231827657657,2.3230091323697
1.02,1.48800007829643,2.11435676725908,2.11624849267595
1.04,1.48800001002979,1.88841192650038,1.95577880126895
1.06,1.48800001528208,1.80186837499363,1.8312361282224
1.08,1.48800004472053,1.78351819021964,1.73457689470039
1.1,1.48800005592208,1.63677228555836,1.65955837143172
1.12,1.48799997650444,1.57438317239366,1.60133549474413
1.14,1.4879999757073,1.56249237775706,1.55614794928995
1.16,1.48799999959049,1.55237345279698,1.52107727667092
1.18,1.48799992078352,1.4496329297586,1.49385845981616
1.2,1.48799992078352,1.39182252305661,1.47273357830261
1.22,1.48800007309434,1.38718909386204,1.45633827765116
1.24,1.48800005287966,1.387895978184,1.44361364886571
1.26,1.48799997971777,1.38651969353459,1.43373789415241
1.28,1.48800001883069,1.36359897061207,1.42607319389668
1.3,1.48800005993988,1.32219923132547,1.42012450094657
1.32,1.4879999954744,1.35842430642545,1.41550764080613
1.34,1.4880000261562,1.3547410254889,1.41192446598991
1.36,-1.65861954555812,1.3661282705666,1.40914351184664
1.38,-1.96799990097364,1.36734923467137,1.40698516074523
1.4,-1.96799994864259,1.39247915367692,1.40531004383149
1.42,-1.96800002203304,1.37920291909371,1.40400997185263
1.44,-1.96800006297067,1.26360622393238,1.40300095503158
1.46,-1.96800005088971,0.889787575990038,1.40221785004558
1.48,-1.96800003610579,0.511992983017806,0.739022405893753
1.5,-1.96800002894985,0.112214139086801,0.159160940866838
1.52,-1.9680000009026,-0.238656602080091,-0.290877305690371
1.54,-1.96799995814261,-0.572574122031453,-0.640158021901897
1.56,-1.96799998526471,-0.937153505679297,-0.911239464717517
1.58,-1.96800001238681,-0.937153505679297,-1.12162939465902
1.6,-1.96799999544465,-1.2928716120535,-1.28491582936424
1.62,-1.96800007258501,-1.33362124094767,-1.41164461318698
1.64,-1.96800005130863,-1.43343758938201,-1.51000051093675
1.66,-1.96800003069791,-1.53335686878959,-1.58633582932432
1.68,-1.96800006568131,-1.57583670049609,-1.64558069633987
1.7,-1.96800003843494,-1.59049701421083,-1.69156143552374
1.72,-1.96799997492936,-1.61712862568915,-1.7272476984599
1.74,-1.96799994205162,-1.67832135725047,-1.75494430054056
1.76,-1.96799998124333,-1.71952152173313,-1.77643999927525
1.78,-1.9680000377474,-1.74768071124114,-1.79312309414905
1.8,-1.96800008659313,-1.74768071124114,-1.80607107452207
1.82,-1.96799997926148,-1.78445370980509,-1.81612016948383
1.84,-1.96799999851308,-1.78445370980509,-1.82391939308085
1.86,-1.9680000372498,-1.73075436768107,-1.82997246787729
1.88,0.242075511463449,-1.7267390258154,-1.83467034841704
1.9,2.73599995688788,-1.76589923158982,-1.83831644821893
1.92,2.73599999954215,-1.74246228488326,-1.84114624531384
1.94,2.73600009728917,-1.66229231658034,-1.84334246607636
1.96,2.73599998345689,-1.59711784314486,-1.84504698643035
1.98,2.73600007454585,-1.14823035680792,-1.84636989562561
2,2.73600008118692,-0.453801774337937,-1.38201821754975
2.02,2.73600010142412,0.0361471075316897,-0.496479844160928
2.04,2.73600007647176,0.336474552976477,0.190798337223192
2.06,2.7360000225767,0.579714387280992,0.724204144193318
2.08,2.73600002404598,1.24438118833083,1.13818749935175
2.1,2.73600007651401,1.64283011582105,1.45948553597406
2.12,2.73600013827837,1.85377531161725,1.70884923977332
2.14,2.73600013827837,2.02140597719774,1.9023837488747
2.16,2.73600005193992,2.1476216971267,2.05258846394552
2.18,2.73600007260355,2.2533122825854,2.16916434039825
2.2,2.73600006355043,2.36776818657664,2.25964043719574
2.22,2.73600012560189,2.35998565202821,2.3298601567532
2.24,2.73599999630846,2.43370646574248,2.38435863303775
2.26,2.73599990664319,2.44008823918092,2.42665562919866
2.28,2.73599989318891,2.42374606937752,2.45948287530533
2.3,2.73600004365177,2.44247282818654,2.48496054430343
2.32,2.73599995643179,2.47719591116826,2.50473410197655
2.34,2.73599992777285,2.48589974973759,2.52008063755145
2.36,2.73599994760138,2.50609802071182,2.53199126178905
2.38,3.20425864836437,2.52496235761363,2.54123523763967
2.4,4.4768224646341,2.55117941047863,2.54840960806839
