,x,y,r
0,2.4945,2.2085,0.325
1,2.4863,2.2124,0.325
2,2.4737,2.2098,0.325
3,2.4576,2.1985,0.325
4,2.4382,2.1783,0.325
5,2.4154,2.1492,0.325
6,2.389,2.112,0.325
7,2.3595,2.0682,0.325
8,2.3277,2.0195,0.325
9,2.2932,1.9666,0.325
10,2.2563,1.9104,0.325
11,2.2168,1.8514,0.325
12,2.1751,1.7905,0.325
13,2.132,1.7282,0.325
14,2.0874,1.6647,0.325
15,2.0411,1.5999,0.325
16,1.9929,1.5329,0.325
17,1.9419,1.462,0.325
18,1.888,1.3874,0.325
19,1.8304,1.3083,0.325
20,1.7691,1.2246,0.325
21,1.7044,1.1368,0.325
22,1.6374,1.045,0.325
23,1.5695,0.95025,0.325
24,1.5018,0.85269,0.325
25,1.4342,0.75216,0.325
26,1.3675,0.65011,0.325
27,1.3022,0.54712,0.325
28,1.2384,0.44346,0.325
29,1.176,0.33918,0.325
30,1.1146,0.23365,0.325
31,1.0537,0.12687,0.325
32,0.99267,0.019053,0.325
33,0.93112,-0.088497,0.325
34,0.86826,-0.19408,0.325
35,0.80304,-0.2966,0.325
36,0.73464,-0.3948,0.325
37,0.66356,-0.48911,0.325
38,0.59217,-0.58128,0.325
39,0.517,-0.66925,0.325
40,0.4362,-0.75096,0.325
41,0.34939,-0.8263,0.325
42,0.25753,-0.89624,0.325
43,0.16143,-0.96151,0.325
44,0.06135,-1.0233,0.325
45,-0.041826,-1.0826,0.325
46,-0.14744,-1.1402,0.325
47,-0.25484,-1.1975,0.325
48,-0.36332,-1.2552,0.325
49,-0.47186,-1.313,0.325
50,-0.57971,-1.371,0.325
51,-0.68697,-1.4301,0.325
52,-0.79393,-1.4912,0.325
53,-0.89997,-1.554,0.325
54,-1.0049,-1.6183,0.325
55,-1.1089,-1.6843,0.325
56,-1.2119,-1.752,0.325
57,-1.3143,-1.8214,0.325
58,-1.4154,-1.8923,0.325
59,-1.5155,-1.9642,0.325
60,-1.6147,-2.0366,0.325
