,x,y
0,9.4991,0.0016494
1,9.4939,0.010861
2,9.4842,0.027496
3,9.4708,0.050339
4,9.454,0.078593
5,9.4341,0.11225
6,9.4115,0.15015
7,9.3869,0.19134
8,9.3602,0.2358
9,9.3319,0.28281
10,9.302,0.33242
11,9.271,0.38362
12,9.2393,0.4356
13,9.207,0.4886
14,9.1741,0.54224
15,9.1404,0.59691
16,9.1063,0.65197
17,9.0721,0.70685
18,9.0374,0.76207
19,9.0026,0.81719
20,8.9677,0.8718
21,8.9325,0.92651
22,8.8971,0.98109
23,8.861,1.0359
24,8.8247,1.0905
25,8.7879,1.145
26,8.7509,1.1991
27,8.7135,1.253
28,8.676,1.3062
29,8.638,1.3591
30,8.5999,1.4113
31,8.5612,1.4634
32,8.5222,1.5149
33,8.4833,1.5652
34,8.4441,1.615
35,8.4048,1.6638
36,8.365,1.7122
37,8.3249,1.7596
38,8.2844,1.8064
39,8.2439,1.8522
40,8.2032,1.897
41,8.1627,1.9404
42,8.122,1.9829
43,8.0809,2.0247
44,8.0398,2.0653
45,7.9984,2.105
46,7.9564,2.144
47,7.9139,2.1821
48,7.8709,2.2195
49,7.8275,2.256
50,7.7834,2.2919
51,7.7389,2.3268
52,7.6945,2.3605
53,7.6497,2.3934
54,7.6049,2.4252
55,7.5602,2.4558
56,7.515,2.4856
57,7.4695,2.5146
58,7.4231,2.5428
59,7.3763,2.5702
60,7.3287,2.5969
61,7.2806,2.6228
62,7.2317,2.648
63,7.1824,2.6723
64,7.1322,2.6959
65,7.0814,2.7188
66,7.0294,2.741
67,6.9767,2.7625
68,6.9236,2.7831
69,6.8698,2.8029
70,6.8154,2.822
71,6.7599,2.8404
72,6.7037,2.8579
73,6.6465,2.8748
74,6.5888,2.8907
75,6.5306,2.9059
76,6.4724,2.9202
77,6.4137,2.9337
78,6.3542,2.9463
79,6.2944,2.9581
80,6.2341,2.969
81,6.1727,2.9791
82,6.1108,2.9884
83,6.048,2.9967
84,5.9847,3.0042
85,5.9205,3.0109
86,5.856,3.0166
87,5.7918,3.0214
88,5.7273,3.0254
