,x,y,r
0,9.4993,0.0011597,0.325
1,9.4947,0.0084096,0.325
2,9.4847,0.024622,0.325
3,9.4692,0.050013,0.325
4,9.4484,0.084117,0.325
5,9.4228,0.12667,0.325
6,9.3929,0.17674,0.325
7,9.3592,0.23312,0.325
8,9.3218,0.29514,0.325
9,9.281,0.36239,0.325
10,9.2371,0.434,0.325
11,9.1904,0.50941,0.325
12,9.1417,0.58756,0.325
13,9.0912,0.66794,0.325
14,9.0394,0.74964,0.325
15,8.9862,0.83245,0.325
16,8.9312,0.91652,0.325
17,8.8746,1.0016,0.325
18,8.8166,1.0873,0.325
19,8.758,1.1724,0.325
20,8.6988,1.2567,0.325
21,8.639,1.3399,0.325
22,8.5784,1.4225,0.325
23,8.5167,1.5043,0.325
24,8.4541,1.585,0.325
25,8.3908,1.6642,0.325
26,8.3271,1.7413,0.325
27,8.2633,1.8161,0.325
28,8.1991,1.8884,0.325
29,8.1344,1.9584,0.325
30,8.0692,2.026,0.325
31,8.0032,2.0912,0.325
32,7.9366,2.1542,0.325
33,7.8694,2.2147,0.325
34,7.8013,2.2728,0.325
35,7.732,2.3286,0.325
36,7.662,2.3819,0.325
37,7.5912,2.4327,0.325
38,7.5202,2.481,0.325
39,7.4485,2.5269,0.325
40,7.3757,2.5706,0.325
41,7.3022,2.6119,0.325
42,7.228,2.6508,0.325
43,7.1525,2.6877,0.325
44,7.0756,2.7224,0.325
45,6.998,2.7549,0.325
46,6.9195,2.7851,0.325
47,6.8394,2.8133,0.325
48,6.758,2.8393,0.325
49,6.675,2.8634,0.325
50,6.5904,2.8855,0.325
51,6.5048,2.9054,0.325
52,6.4188,2.9232,0.325
53,6.3323,2.9387,0.325
54,6.2452,2.952,0.325
55,6.1575,2.9633,0.325
56,6.0689,2.9725,0.325
57,5.9794,2.9795,0.325
58,5.8895,2.9842,0.325
59,5.7992,2.9867,0.325
60,5.7083,2.9869,0.325
61,5.6165,2.9847,0.325
62,5.5238,2.9801,0.325
63,5.4306,2.9733,0.325
64,5.3371,2.9642,0.325
65,5.2431,2.9528,0.325
66,5.1494,2.9393,0.325
67,5.0562,2.9238,0.325
68,4.9633,2.9061,0.325
69,4.8715,2.8868,0.325
70,4.7803,2.8658,0.325
71,4.689,2.8435,0.325
72,4.5978,2.8198,0.325
73,4.5064,2.7948,0.325
74,4.4147,2.7686,0.325
75,4.3234,2.7413,0.325
76,4.2329,2.713,0.325
