,x,y,r
0,9.4993,0.0012314,0.325
1,9.4946,0.008492,0.325
2,9.4847,0.024354,0.325
3,9.4695,0.04905,0.325
4,9.4494,0.082151,0.325
5,9.4245,0.12346,0.325
6,9.3951,0.172,0.325
7,9.3619,0.2265,0.325
8,9.3252,0.28645,0.325
9,9.2851,0.35166,0.325
10,9.242,0.42118,0.325
11,9.1961,0.49441,0.325
12,9.1481,0.57051,0.325
13,9.0982,0.64882,0.325
14,9.0469,0.72845,0.325
15,8.9946,0.80897,0.325
16,8.9415,0.88985,0.325
17,8.8875,0.9709,0.325
18,8.8331,1.0515,0.325
19,8.778,1.1317,0.325
20,8.722,1.2116,0.325
21,8.6649,1.2913,0.325
22,8.6074,1.3698,0.325
23,8.5496,1.4469,0.325
24,8.4911,1.5227,0.325
25,8.4323,1.5969,0.325
26,8.373,1.6693,0.325
27,8.3126,1.7404,0.325
28,8.2517,1.8097,0.325
29,8.1905,1.8772,0.325
30,8.1288,1.9426,0.325
31,8.0666,2.0059,0.325
32,8.0037,2.0674,0.325
33,7.9401,2.1268,0.325
34,7.8759,2.1842,0.325
35,7.8107,2.2397,0.325
36,7.745,2.2929,0.325
37,7.6788,2.3439,0.325
38,7.6117,2.3929,0.325
39,7.5436,2.4398,0.325
40,7.4744,2.4849,0.325
41,7.4043,2.5282,0.325
42,7.3333,2.5695,0.325
43,7.2608,2.6091,0.325
44,7.1864,2.647,0.325
45,7.1109,2.6831,0.325
46,7.0345,2.7171,0.325
47,6.9565,2.7493,0.325
48,6.8773,2.7799,0.325
49,6.7965,2.8088,0.325
50,6.7138,2.8359,0.325
51,6.6295,2.8612,0.325
52,6.5439,2.8847,0.325
53,6.4568,2.9063,0.325
54,6.3681,2.9258,0.325
55,6.2777,2.9435,0.325
56,6.1857,2.9594,0.325
57,6.092,2.9732,0.325
58,5.9966,2.985,0.325
59,5.9001,2.9947,0.325
60,5.8028,3.0023,0.325
61,5.7042,3.0077,0.325
62,5.6047,3.0111,0.325
63,5.5042,3.0122,0.325
64,5.4033,3.0113,0.325
65,5.3019,3.0081,0.325
66,5.1999,3.0025,0.325
67,5.0971,2.9944,0.325
68,4.9945,2.9844,0.325
69,4.892,2.9726,0.325
70,4.7896,2.959,0.325
71,4.6874,2.9438,0.325
72,4.5852,2.9272,0.325
73,4.4825,2.909,0.325
74,4.38,2.8895,0.325
75,4.2778,2.8688,0.325
76,4.1759,2.847,0.325
77,4.0743,2.824,0.325
78,3.973,2.8,0.325
79,3.872,2.7745,0.325
80,3.7711,2.7476,0.325
81,3.67,2.7192,0.325
82,3.5683,2.6888,0.325
83,3.4668,2.6568,0.325
84,3.3655,2.6226,0.325
85,3.2638,2.586,0.325
86,3.1619,2.5469,0.325
87,3.0595,2.5054,0.325
88,2.9572,2.4618,0.325
89,2.8557,2.4164,0.325
90,2.7553,2.3696,0.325
91,2.656,2.3209,0.325
92,2.5573,2.2701,0.325
93,2.4595,2.2176,0.325
94,2.3626,2.1633,0.325
95,2.2664,2.1068,0.325
96,2.172,2.0492,0.325
97,2.0798,1.9907,0.325
98,1.9889,1.9306,0.325
99,1.8993,1.8686,0.325
100,1.8109,1.8045,0.325
101,1.7233,1.7373,0.325
102,1.6354,1.6658,0.325
103,1.5465,1.5887,0.325
104,1.4569,1.5058,0.325
105,1.3675,1.4171,0.325
106,1.2801,1.3231,0.325
107,1.1962,1.2242,0.325
108,1.1172,1.1215,0.325
109,1.0445,1.0151,0.325
110,0.97955,0.90433,0.325
111,0.92336,0.78933,0.325
112,0.87697,0.67063,0.325
113,0.8407,0.54864,0.325
114,0.81535,0.4256,0.325
115,0.80303,0.30459,0.325
116,0.80289,0.19003,0.325
117,0.80815,0.083339,0.325
118,0.80963,-0.018379,0.325
119,0.80212,-0.11796,0.325
120,0.78421,-0.21521,0.325
121,0.75454,-0.31037,0.325
122,0.71363,-0.40428,0.325
123,0.66186,-0.49716,0.325
124,0.59467,-0.58459,0.325
125,0.51221,-0.66523,0.325
126,0.41659,-0.73983,0.325
127,0.31019,-0.80976,0.325
128,0.19608,-0.87617,0.325
129,0.076389,-0.94043,0.325
130,-0.047087,-1.0042,0.325
131,-0.17214,-1.0688,0.325
132,-0.29687,-1.1356,0.325
133,-0.41948,-1.2056,0.325
134,-0.53822,-1.2795,0.325
135,-0.6517,-1.359,0.325
136,-0.75912,-1.4451,0.325
137,-0.86045,-1.5393,0.325
138,-0.9557,-1.6418,0.325
139,-1.0448,-1.7517,0.325
140,-1.1281,-1.8683,0.325
141,-1.207,-1.9902,0.325
142,-1.2828,-2.1153,0.325
143,-1.3576,-2.2407,0.325
144,-1.4331,-2.365,0.325
145,-1.5103,-2.4862,0.325
146,-1.595,-2.5999,0.325
147,-1.69,-2.7033,0.325
148,-1.7947,-2.7957,0.325
149,-1.9079,-2.878,0.325
150,-2.0287,-2.9518,0.325
151,-2.1559,-3.0189,0.325
152,-2.2884,-3.0806,0.325
153,-2.4256,-3.1376,0.325
154,-2.5665,-3.1906,0.325
155,-2.7093,-3.2399,0.325
156,-2.853,-3.2863,0.325
157,-2.9972,-3.3304,0.325
158,-3.1414,-3.3725,0.325
159,-3.2856,-3.4132,0.325
160,-3.4301,-3.453,0.325
161,-3.5747,-3.4918,0.325
162,-3.719,-3.5298,0.325
163,-3.863,-3.5664,0.325
164,-4.0065,-3.6019,0.325
165,-4.15,-3.6362,0.325
166,-4.2927,-3.6692,0.325
167,-4.4344,-3.7007,0.325
168,-4.5757,-3.7303,0.325
169,-4.7167,-3.7582,0.325
170,-4.8574,-3.7841,0.325
171,-4.9983,-3.8074,0.325
172,-5.1394,-3.828,0.325
173,-5.281,-3.8456,0.325
174,-5.4226,-3.8598,0.325
175,-5.5636,-3.8705,0.325
176,-5.7037,-3.8775,0.325
177,-5.8429,-3.881,0.325
178,-5.9813,-3.8808,0.325
179,-6.1192,-3.8766,0.325
180,-6.2565,-3.8678,0.325
181,-6.3934,-3.8547,0.325
182,-6.5297,-3.8371,0.325
183,-6.6643,-3.815,0.325
184,-6.7967,-3.7885,0.325
185,-6.9272,-3.7573,0.325
186,-7.0553,-3.7215,0.325
187,-7.1807,-3.6813,0.325
188,-7.3036,-3.6363,0.325
189,-7.4239,-3.5861,0.325
190,-7.5418,-3.531,0.325
191,-7.6561,-3.4716,0.325
192,-7.7664,-3.4081,0.325
193,-7.873,-3.3402,0.325
194,-7.9755,-3.2685,0.325
195,-8.0739,-3.1929,0.325
196,-8.1682,-3.1134,0.325
197,-8.2587,-3.03,0.325
198,-8.3453,-2.9429,0.325
199,-8.4283,-2.8522,0.325
200,-8.5072,-2.7584,0.325
201,-8.5821,-2.6614,0.325
202,-8.6531,-2.5614,0.325
203,-8.7202,-2.4583,0.325
204,-8.7833,-2.3531,0.325
205,-8.8424,-2.2462,0.325
206,-8.8975,-2.1386,0.325
207,-8.9486,-2.0301,0.325
208,-8.996,-1.9204,0.325
209,-9.0394,-1.8106,0.325
210,-9.0789,-1.701,0.325
211,-9.1146,-1.5915,0.325
212,-9.1467,-1.4817,0.325
213,-9.1751,-1.3714,0.325
214,-9.1997,-1.2612,0.325
215,-9.2204,-1.1516,0.325
216,-9.2374,-1.0435,0.325
217,-9.2509,-0.93721,0.325
218,-9.2609,-0.83241,0.325
219,-9.2674,-0.72882,0.325
220,-9.2705,-0.6264,0.325
221,-9.2702,-0.52525,0.325
222,-9.2666,-0.42562,0.325
223,-9.2598,-0.32747,0.325
224,-9.2499,-0.23036,0.325
225,-9.2371,-0.13406,0.325
226,-9.2215,-0.039006,0.325
227,-9.2033,0.0547,0.325
228,-9.1826,0.14666,0.325
229,-9.1597,0.23709,0.325
230,-9.1342,0.32634,0.325
231,-9.1067,0.41396,0.325
232,-9.0773,0.49995,0.325
233,-9.0459,0.58475,0.325
234,-9.0126,0.66852,0.325
235,-8.9779,0.75069,0.325
236,-8.9418,0.83133,0.325
237,-8.9041,0.91081,0.325
238,-8.8651,0.98901,0.325
239,-8.825,1.066,0.325
240,-8.7836,1.1419,0.325
241,-8.7413,1.2162,0.325
242,-8.6986,1.2887,0.325
243,-8.6554,1.3593,0.325
244,-8.6117,1.4281,0.325
245,-8.5672,1.4954,0.325
246,-8.522,1.5613,0.325
247,-8.4757,1.6262,0.325
248,-8.4281,1.6904,0.325
249,-8.3792,1.7539,0.325
250,-8.329,1.8165,0.325
251,-8.2776,1.8782,0.325
252,-8.225,1.9389,0.325
253,-8.1713,1.9983,0.325
254,-8.1164,2.0567,0.325
255,-8.0597,2.1143,0.325
256,-8.0008,2.1714,0.325
257,-7.9404,2.2274,0.325
258,-7.8783,2.2825,0.325
259,-7.8141,2.3368,0.325
260,-7.7479,2.3901,0.325
261,-7.6791,2.4427,0.325
262,-7.6074,2.4947,0.325
263,-7.5331,2.5458,0.325
264,-7.4563,2.5959,0.325
265,-7.3769,2.645,0.325
266,-7.2948,2.6931,0.325
267,-7.2096,2.7403,0.325
268,-7.1214,2.7864,0.325
269,-7.0302,2.8312,0.325
