,x,y
0,9.4992,0.0016518
1,9.4944,0.010869
2,9.4854,0.02753
3,9.4729,0.050414
4,9.4575,0.078699
5,9.439,0.11237
6,9.4179,0.15027
7,9.3949,0.19147
8,9.37,0.23592
9,9.3432,0.28297
10,9.3147,0.33266
11,9.2853,0.38398
12,9.2552,0.43609
13,9.2244,0.48923
14,9.193,0.54305
15,9.1609,0.59789
16,9.1282,0.65312
17,9.0952,0.70819
18,9.0619,0.76364
19,9.0282,0.81898
20,8.9946,0.87382
21,8.9606,0.92875
22,8.9263,0.98355
23,8.8912,1.0386
24,8.856,1.0933
25,8.8204,1.1481
26,8.7845,1.2023
27,8.7483,1.2564
28,8.7121,1.3099
29,8.6756,1.3631
30,8.6391,1.4152
31,8.6032,1.4658
32,8.5673,1.5156
33,8.5312,1.5646
34,8.4945,1.6132
35,8.4575,1.6611
36,8.4205,1.7078
37,8.3836,1.7535
38,8.3468,1.7982
39,8.3097,1.8421
40,8.2726,1.885
41,8.2353,1.9269
42,8.1983,1.9676
43,8.1612,2.0074
44,8.1238,2.0464
45,8.0864,2.0845
46,8.0488,2.1218
47,8.0111,2.1579
48,7.9732,2.1931
49,7.9351,2.2273
50,7.8967,2.2608
51,7.8581,2.2934
52,7.8185,2.3255
53,7.7785,2.3568
54,7.7384,2.3871
55,7.6977,2.4167
56,7.6567,2.4456
57,7.6157,2.4736
58,7.5738,2.5011
59,7.5316,2.5277
60,7.4894,2.5534
61,7.447,2.5785
62,7.4044,2.6027
63,7.3613,2.6262
64,7.3181,2.6489
65,7.2741,2.6711
66,7.2301,2.6925
67,7.1866,2.713
68,7.1427,2.7328
69,7.0986,2.7519
70,7.0533,2.7705
71,7.0072,2.7886
72,6.9607,2.806
73,6.9132,2.8229
74,6.8651,2.8391
75,6.817,2.8547
76,6.7682,2.8696
77,6.719,2.8839
78,6.669,2.8976
79,6.6183,2.9107
80,6.5667,2.9231
81,6.5148,2.9348
82,6.4626,2.9459
83,6.4104,2.9564
84,6.3578,2.9663
85,6.3057,2.9755
86,6.2532,2.9841
87,6.1997,2.9921
88,6.1456,2.9994
89,6.0918,3.0061
90,6.0379,3.0122
91,5.9841,3.0177
92,5.9294,3.0224
93,5.8743,3.0266
94,5.8195,3.0299
95,5.7643,3.0324
96,5.7088,3.0341
97,5.6531,3.0352
98,5.5965,3.0355
99,5.5397,3.0349
