,x,y
0,9.8989,0.0011612
1,9.8916,0.0084291
2,9.8744,0.02435
3,9.8468,0.049149
4,9.8101,0.08208
5,9.7658,0.12214
6,9.7152,0.16823
7,9.6595,0.21974
8,9.6002,0.27578
9,9.538,0.33582
10,9.4735,0.39972
11,9.4071,0.46725
12,9.3395,0.53749
13,9.2711,0.61011
14,9.2021,0.68507
15,9.133,0.76163
16,9.064,0.83935
17,8.9955,0.91766
18,8.9276,0.99628
19,8.8607,1.0746
20,8.7945,1.1525
21,8.7287,1.2302
22,8.6633,1.3074
23,8.5986,1.3833
24,8.5347,1.4579
25,8.4716,1.5313
26,8.4093,1.6033
27,8.3474,1.6738
28,8.2857,1.7429
29,8.2243,1.8103
30,8.1634,1.8757
31,8.1025,1.9393
32,8.0415,2.0011
33,7.9801,2.061
34,7.9185,2.1191
35,7.8565,2.1754
36,7.7936,2.2299
37,7.7302,2.2823
38,7.6663,2.3326
39,7.6015,2.381
40,7.5356,2.4275
41,7.4685,2.4721
42,7.4004,2.5148
43,7.3312,2.5555
44,7.2604,2.5945
45,7.1876,2.6318
46,7.1137,2.6673
47,7.0386,2.7009
48,6.9619,2.7328
49,6.8839,2.7628
50,6.8045,2.791
51,6.7242,2.8172
52,6.6429,2.8414
53,6.5603,2.8637
54,6.4759,2.884
55,6.3896,2.9025
56,6.3013,2.9191
57,6.2114,2.9337
58,6.1208,2.9462
59,6.03,2.9568
60,5.9388,2.9653
61,5.8468,2.9717
62,5.7542,2.9761
63,5.6613,2.9783
64,5.5682,2.9784
65,5.4749,2.9761
66,5.382,2.9717
67,5.2892,2.9651
68,5.1961,2.9561
69,5.1024,2.9448
70,5.0087,2.9318
71,4.9151,2.917
72,4.8212,2.9003
73,4.7274,2.8818
74,4.6334,2.8616
75,4.5388,2.8394
76,4.4441,2.8159
77,4.3493,2.791
78,4.2546,2.7646
79,4.1598,2.7367
80,4.0646,2.7072
81,3.9693,2.6761
82,3.8739,2.6434
83,3.7788,2.6092
84,3.6845,2.5736
85,3.591,2.5368
86,3.498,2.4982
87,3.4061,2.4577
88,3.3154,2.4156
89,3.2261,2.3723
90,3.1383,2.3274
91,3.0516,2.2808
92,2.9668,2.2331
93,2.8837,2.1844
94,2.8024,2.1345
95,2.7221,2.0829
96,2.6429,2.0298
97,2.5646,1.9753
98,2.4874,1.9201
99,2.4118,1.8642
100,2.3375,1.8075
101,2.2649,1.7503
102,2.1941,1.693
103,2.1246,1.6352
104,2.0553,1.5762
105,1.9853,1.5149
106,1.9139,1.4507
107,1.8408,1.3838
108,1.7652,1.3133
109,1.6868,1.2387
110,1.6065,1.161
111,1.5254,1.0801
112,1.4432,0.99658
113,1.3604,0.91155
114,1.2772,0.82598
115,1.1935,0.73994
116,1.1093,0.65364
117,1.0249,0.56705
118,0.94132,0.4807
119,0.85858,0.39531
120,0.77611,0.31028
121,0.69369,0.22535
122,0.61189,0.14172
123,0.53116,0.059825
124,0.45104,-0.020808
125,0.37088,-0.10129
126,0.29011,-0.18225
127,0.20859,-0.26379
128,0.12722,-0.34462
129,0.04643,-0.42428
130,-0.034321,-0.50313
131,-0.11541,-0.58178
132,-0.1967,-0.66066
133,-0.27848,-0.73966
134,-0.36031,-0.81858
135,-0.44233,-0.89726
136,-0.52449,-0.97632
137,-0.60749,-1.0558
138,-0.6913,-1.1361
139,-0.77495,-1.2171
140,-0.85865,-1.2986
141,-0.94263,-1.3811
142,-1.0269,-1.4637
143,-1.1114,-1.5467
144,-1.1964,-1.6298
145,-1.2822,-1.713
146,-1.3688,-1.7962
147,-1.4563,-1.8795
148,-1.5449,-1.9623
149,-1.6342,-2.0444
150,-1.7248,-2.1255
151,-1.8171,-2.2059
152,-1.9115,-2.2857
153,-2.0076,-2.3646
154,-2.1056,-2.4423
155,-2.2048,-2.5182
156,-2.3048,-2.5921
157,-2.4061,-2.6636
158,-2.5087,-2.7332
159,-2.613,-2.8006
160,-2.719,-2.8662
161,-2.8263,-2.9299
162,-2.9347,-2.9909
163,-3.0445,-3.0497
164,-3.1559,-3.1065
165,-3.2685,-3.1615
166,-3.3826,-3.2143
167,-3.4981,-3.2648
168,-3.6142,-3.313
169,-3.7312,-3.3583
170,-3.8488,-3.4007
171,-3.967,-3.4405
172,-4.085,-3.4777
173,-4.2029,-3.512
174,-4.3214,-3.5432
175,-4.4403,-3.5719
176,-4.5593,-3.5982
177,-4.679,-3.622
178,-4.7994,-3.643
179,-4.9192,-3.6613
180,-5.0382,-3.6771
181,-5.157,-3.6907
182,-5.2766,-3.7017
183,-5.3965,-3.71
184,-5.5168,-3.7156
185,-5.6377,-3.7184
186,-5.7593,-3.7182
