t,inp,resp,fit
0,7.03830559394983e-15,0.0976400228820006,0.154159892585708
0.02,7.03607199201632e-15,0.0871846168303425,0.113269105536694
0.04,7.01046781593948e-15,0.0832057343377534,0.0832245667396908
0.06,7.00130097815451e-15,0.0776859133078322,0.0611493176024544
0.08,6.99520431973467e-15,0.0713725863678537,0.0449295104766529
0.1,6.99956197604918e-15,0.0754104229935596,0.033011994096082
0.12,-0.494577312709423,0.0808195491500525,0.0242555893139795
0.14,-8.00032166463555,0.0822755037872764,0.0178218138309396
0.16,-11.9999993295502,0.0832488305969941,0.013094592100536
0.18,-11.9999995558436,0.0879712182077587,0.00962126211764994
0.2,-12.0000001321568,-0.0569661784619476,0.00706923010856845
0.22,-12.0000000725235,-0.412104493921459,0.00519412252953999
0.24,-12.0000000881709,-1.00418624476645,-0.121282521417874
0.26,-12.0000001120284,-1.14193673847732,-2.11272223084518
0.28,-11.9999999270249,-3.64990236857947,-4.58761685240055
0.3,-12.0000001050587,-5.4764703224333,-6.40604773090705
0.32,-12.0000002195496,-6.63673959139154,-7.74214143275374
0.34,-11.9999998391559,-7.58981864651925,-8.7238373437829
0.36,-11.9999994491518,-8.47534846858552,-9.44513921093115
0.38,-11.9999995379793,-9.47376073597871,-9.97511634618827
0.4,-11.9999999440542,-9.78170117456454,-10.3645174273948
0.42,-12.0000005238282,-10.0358476493304,-10.6506302312222
0.44,-12.0000005238282,-10.2843414900254,-10.860851873784
0.46,-0.794364401585775,-10.3760887766628,-11.0153122991592
0.48,12.0000002673066,-10.4895986345207,-11.1288021227576
0.5,11.9999998439593,-10.5994839528943,-11.2121888847395
0.52,11.9999998331303,-10.4597631871487,-11.2734574781401
0.54,11.9999996760516,-9.72544737073808,-11.3184747732544
0.56,11.9999999382392,-7.77836032791464,-11.3515512671838
0.58,12.0000001639506,-6.05182579359237,-8.54148882772257
0.6,12.0000002193534,-2.47883851534718,-3.24057308724871
0.62,12.0000001540641,-0.666588693628618,0.65427892562036
