t,inp,resp,fit
0,0,-0.0273826511908427,-0.0626020643094213
0.02,0,-0.0397691264218984,-0.0485862991826582
0.04,0,-0.0333622420286861,-0.0377084764585232
0.06,0,-0.0343786290152373,-0.0292660527914941
0.08,0,-0.0174878658580113,-0.0227137748971803
0.1,0,-0.019812036408294,-0.0176284644108113
0.12,0,-0.0260196595886972,-0.0136816869450361
0.14,0,-0.0697698000065095,-0.0106185401802309
0.16,0,-0.063189282252994,-0.00824119101775586
0.18,0,-0.056335838855582,-0.00639609854446704
0.2,0,-0.0579906408186646,-0.00496409760462918
0.22,0,-0.0789239285425952,-0.00385270252748091
0.24,0,-0.095938407508873,-0.00299013394728902
0.26,0,-0.0754643241003365,-0.00232068293852321
0.28,0,-0.0545406542278316,-0.00180111305917767
0.3,0,-0.0527351946689507,-0.00139786792848346
0.32,0,-0.0456728718062045,-0.00108490399063276
0.34,0,-0.0178770534970867,-0.000842008493726465
0.36,0,-0.000798656016796931,-0.000653494050744531
0.38,0,-0.0105796787462042,-0.000507185470859667
0.4,0,-0.00249517252216775,-0.00039363342567246
0.42,0,0.0290482258679325,-0.00030550416506215
0.44,0,0.0801294339504143,-0.00023710586749811
0.46,0,0.0470549302837034,-0.000184021034183263
0.48,0,0.0278609735534285,-0.000142821185233418
0.5,0,0.0495087335950133,-0.000110845431567156
0.52,0,0.0455669506576747,-8.60286215887968e-05
0.54,3.95874068439539,0.0295571603678884,-6.67679635311311e-05
0.56,8.86742128019434,0.0251145858343984,-5.18195092721909e-05
0.58,11.9999998804656,0.0259840326395755,-4.02178140412902e-05
0.6,11.9999999764842,0.0173654554367684,-3.12135832426306e-05
0.62,12.0000000567252,0.122589190455307,-2.42252793213565e-05
0.64,11.9999999978672,0.743676726685895,-1.88015632052209e-05
0.66,11.9999996993503,1.76449409221265,0.833582444357658
0.68,11.9999999833761,2.78015306726936,2.51417860365238
0.7,11.9999995394166,3.89788533533372,4.47814279543947
0.72,11.9999996925432,5.49533266287953,6.00240168569416
0.74,11.9999998652825,6.42534224961168,7.18539940866779
0.76,11.9999999616346,8.18632303926309,8.10353974731269
0.78,11.999999784955,8.57172173282901,8.81612067802244
0.8,12.0000001768396,9.54845984854026,9.36916432630027
0.82,11.9999998513461,9.94476045958117,9.79838880316613
0.84,12.0000002688673,10.2302843177049,10.1315156912028
0.86,12.0000002581812,10.4915509586217,10.3900599597276
0.88,12.0000002413722,10.7253306775994,10.5907196438963
0.9,12.0000000501846,10.8881201910676,10.7464542706605
0.92,11.9999997564399,10.998298993291,10.867322079389
0.94,11.9999998180463,11.1681437371704,10.9611291333656
0.96,12.000000035108,11.1666465560195,11.0339341301987
0.98,12.0000002149105,11.2769342017421,11.0904390594895
1,12.0000001827279,11.2955450385571,11.134293287118
1.02,11.999999881953,11.3186829536182,11.1683290993107
1.04,11.9999998563526,11.331883633362,11.1947446864029
1.06,11.9999998974806,11.3522793958905,11.2152461897289
1.08,11.9999998757993,11.3751581300867,11.2311577262993
1.1,11.9999998526296,11.3866819042138,11.2435069204511
1.12,11.9999998787926,11.3773283004808,11.2530912883805
1.14,12.0000000806393,11.3916045066159,11.2605297811516
1.16,12.0000005110312,11.4332778906483,11.266302889463
1.18,11.999999653402,11.3800127725629,11.270783484678
1.2,11.9999994359053,11.3824552061076,11.2742609299703
1.22,12.0000000477983,11.4447294329513,11.2769598168808
1.24,11.9999999904927,11.4066396795413,11.2790544646089
1.26,4.48835407146555,11.3920462837855,11.280680191222
1.28,-11.3334864791105,11.412691314602,11.2819420300127
1.3,-12.0000003222726,11.4095814196145,11.2829211793785
1.32,-12.0000003897268,11.2920785530555,11.2836810644953
1.34,-12.0000000679132,10.6066193182514,11.2842709503422
1.36,-11.9999997460997,9.41274185291132,11.2847287565686
1.38,-11.9999999940227,7.66619720931415,9.70334727742168
1.4,-12.0000002577307,4.73362266423668,5.14439097581842
1.42,-12.000000026456,2.09467834691389,1.46577536732609
1.44,-11.9999998251931,-0.170986527057254,-1.38924740856824
1.46,-12.0000002296548,-3.41471593726773,-3.60506869259289
1.48,-11.9999999887624,-5.29684026451477,-5.32479715181101
1.5,-11.9999997478699,-5.96784255710675,-6.65950145625194
1.52,-11.9999995772885,-7.7944755784618,-7.69538336921372
1.54,-11.9999996841072,-9.31160071714702,-8.49934512427012
1.56,-11.999999987514,-9.87036363973544,-9.12331055001759
1.58,-12.0000000428908,-10.2387612338415,-9.60757854534843
1.6,-11.9999998249322,-10.4712339140248,-9.98342536110107
1.62,-11.999999861306,-10.7876778287921,-10.275125049649
1.64,-11.9999999612757,-10.8271636797395,-10.5015170424208
1.66,-11.9999998534179,-11.1007966431156,-10.6772229176634
1.68,-11.9999998754672,-11.2104263371514,-10.813590660747
1.7,-11.9999998355527,-11.3039201374505,-10.9194275012314
1.72,-12.0000000370776,-11.3282299145707,-11.0015688424136
1.74,-12.0000003883495,-11.3309835979154,-11.0653198433024
1.76,-12.0000003237286,-11.332511398266,-11.1147978685779
1.78,-12.0000002749252,-11.3293155409657,-11.1531984028689
1.8,-12.0000002642942,-11.3285709846732,-11.1830015756408
1.82,-12.0000001366387,-11.2216725549602,-11.2061322081319
1.84,-11.9999999480564,-11.2705863898634,-11.2240842437307
1.86,-11.9999998643503,-11.2481433093871,-11.238017132569
1.88,-12.0000001818017,-11.2790386751726,-11.2488306202903
1.9,-12.0000001381327,-11.2528258782762,-11.2572231024247
1.92,-12.0000000657517,-11.238378760342,-11.2637366177892
1.94,-12.0000001488436,-11.2482218466075,-11.2687918172773
1.96,-12.0000000021208,-11.2271375626355,-11.2727151854847
1.98,-11.9999996192881,-11.2123296788892,-11.2757601463849
2,-11.999999538798,-11.2389596908558,-11.2781234481009
2.02,-11.999999954425,-11.2397533526909,-11.2799576289677
2.04,-12.0000000477243,-11.2583599371985,-11.2813811460224
2.06,-11.9999997720225,-11.2699524385739,-11.2824859741397
2.08,-11.9999995974382,-11.2669149907133,-11.2833434151189
2.1,-12.0000000870947,-11.2847695374802,-11.2840088059144
2.12,-12.0000004369674,-11.3283734849397,-11.2845252076591
2.14,-12.0000003225726,-11.3546439102402,-11.2849260814772
2.16,-11.9999997240746,-11.3200126198312,-11.2852372246538
2.18,-12.000000321295,-11.3232842049711,-11.2854786489787
2.2,-12.0000000643454,-11.3438444202225,-11.2856659848629
2.22,-11.9999998213167,-11.3583400854478,-11.2858114818552
2.24,-11.999999696423,-11.3701577302328,-11.2859244776896
2.26,-11.9999995868726,-11.3723025740158,-11.2860121511792
2.28,-11.9999996116566,-11.350117271758,-11.2860800697204
2.3,-11.9999999262498,-11.353198288623,-11.2861329079658
2.32,-11.999999851113,-11.3110757780932,-11.2861738623284
2.34,-11.9999998651599,-11.3077064281665,-11.2862055963819
2.36,-12.0000002186152,-11.2498271528165,-11.2862301993062
2.38,-11.9999999642435,-11.2452712932661,-11.2862492708965
2.4,-12.0000003491398,-11.2424554656026,-11.2862640778316
2.42,-12.0000004736473,-11.2517346315476,-11.2862756359362
2.44,-12.0000001400434,-11.279542401944,-11.286284590514
2.46,-12.0000002183433,-11.3272384275374,-11.2862915432395
2.48,-12.0000005230328,-11.3658877335031,-11.2862970137703
2.5,-12.000000426624,-11.3693763016705,-11.286301205959
2.52,-11.9999999358888,-11.3548085451069,-11.2863045406207
2.54,-12.0000001114823,-11.3622717586249,-11.2863071549141
2.56,-12.0000002350444,-11.3905764042267,-11.2863091136547
2.58,-12.0000003296728,-11.4061926139769,-11.2863106503471
2.6,-12.0000003956143,-11.3984695131771,-11.2863119071536
2.62,-11.9999998025914,-11.414440104653,-11.2863128622769
2.64,-12.0000000801235,-11.4320576901744,-11.2863135002262
2.66,-12.0000006268431,-11.4142264417539,-11.2863140323221
2.68,-12.0000005302608,-11.3956554709805,-11.2863144713075
2.7,-11.9999999598458,-11.3531373329536,-11.2863148319359
2.72,-11.9999996682685,-11.3728966780189,-11.2863151257099
2.74,-11.9999997271918,-11.3669498139791,-11.2863152288382
2.76,-11.9999997861151,-11.3696815077825,-11.2863153673177
2.78,-11.9999998224568,-11.3953055678923,-11.286315589917
2.8,-11.999999774685,-11.4179528116236,-11.2863157423418
2.82,-11.9999998169162,-11.4000874402333,-11.2863157405277
2.84,-12.000000034913,-11.4160601495008,-11.286315677722
2.86,-11.9999998901776,-11.4359444989508,-11.2863156413852
2.88,-11.9999998901776,-11.4384190687865,-11.2863156255912
2.9,-12.0000000530234,-11.4264006559948,-11.2863156209858
2.92,-12.0000002253375,-11.3784250141261,-11.2863156073522
2.94,-12.0000001884262,-11.3962461335318,-11.2863156056636
2.96,-12.0000004080436,-11.3963654640352,-11.2863156502569
2.98,-11.999999762227,-11.3975811873065,-11.2863156543893
3,-11.9999993883614,-11.4280656731219,-11.2863156575965
3.02,-11.9999995493252,-11.4479982396704,-11.2863156943763
