,x,y
0,9.899,0.0011514
1,9.8917,0.0084385
2,9.8747,0.024502
3,9.8475,0.049502
4,9.811,0.082734
5,9.767,0.12313
6,9.717,0.16961
7,9.6621,0.22153
8,9.6034,0.27785
9,9.5416,0.33807
10,9.4773,0.40205
11,9.4108,0.4696
12,9.343,0.53987
13,9.2743,0.61244
14,9.2049,0.6872
15,9.1352,0.76354
16,9.0654,0.84106
17,8.996,0.91915
18,8.9271,0.99763
19,8.8593,1.0759
20,8.7921,1.1538
21,8.7253,1.2315
22,8.6584,1.3091
23,8.5917,1.3866
24,8.5254,1.4632
25,8.4594,1.5387
26,8.3933,1.6133
27,8.3272,1.6865
28,8.261,1.7583
29,8.1947,1.8286
30,8.128,1.8974
31,8.0608,1.9647
32,7.9929,2.0304
33,7.9245,2.0943
34,7.8557,2.1564
35,7.7863,2.2164
36,7.7169,2.2739
37,7.6475,2.329
38,7.5777,2.3817
39,7.5075,2.4321
40,7.4366,2.4802
41,7.3644,2.5263
42,7.2912,2.5704
43,7.2174,2.6122
44,7.1425,2.652
45,7.0661,2.6898
46,6.9887,2.7255
47,6.91,2.7592
48,6.8298,2.7909
49,6.7482,2.8206
50,6.665,2.8481
51,6.58,2.8738
52,6.4937,2.8974
53,6.4055,2.919
54,6.3154,2.9384
55,6.2241,2.9558
56,6.1325,2.9711
57,6.0404,2.9844
58,5.9476,2.9957
59,5.8536,3.0048
60,5.7587,3.0118
61,5.6631,3.0165
62,5.5672,3.0191
63,5.4705,3.0195
64,5.3727,3.0176
65,5.2744,3.0134
66,5.1756,3.007
67,5.0762,2.9982
68,4.976,2.987
69,4.8755,2.9735
70,4.775,2.9577
71,4.6741,2.9396
72,4.573,2.9192
73,4.472,2.8963
74,4.3711,2.871
75,4.2709,2.8436
76,4.171,2.8138
77,4.0716,2.7819
78,3.9726,2.7478
79,3.8743,2.7117
80,3.7763,2.6734
81,3.6785,2.6331
82,3.5812,2.5907
83,3.484,2.546
84,3.3872,2.4992
85,3.2906,2.4502
86,3.195,2.3994
87,3.1002,2.3469
88,3.006,2.2926
89,2.9124,2.2362
90,2.8203,2.1785
91,2.7298,2.1198
92,2.6405,2.0596
93,2.5518,1.9977
94,2.4638,1.9343
95,2.3764,1.8692
96,2.2893,1.8023
97,2.2024,1.7336
98,2.1159,1.6635
99,2.0297,1.592
100,1.9438,1.5194
101,1.8587,1.446
102,1.7745,1.3716
103,1.6914,1.2966
104,1.6096,1.2212
105,1.529,1.1455
106,1.4495,1.0698
107,1.3708,0.9936
108,1.2924,0.91699
109,1.2148,0.83989
110,1.1378,0.76243
111,1.0614,0.6843
112,0.98489,0.60516
113,0.90812,0.52523
114,0.83119,0.44474
115,0.75425,0.36373
116,0.67775,0.28251
117,0.60183,0.20147
118,0.526,0.12001
119,0.44995,0.038326
120,0.37359,-0.043604
121,0.29691,-0.12592
122,0.21998,-0.20803
123,0.14273,-0.2901
124,0.064987,-0.37256
125,-0.013685,-0.45558
126,-0.092664,-0.53824
127,-0.1721,-0.62083
128,-0.25244,-0.70365
129,-0.33339,-0.7865
130,-0.41497,-0.86944
131,-0.49776,-0.95252
132,-0.58159,-1.0354
133,-0.66537,-1.1173
134,-0.74875,-1.1981
135,-0.83203,-1.2782
136,-0.91593,-1.3582
137,-1.0003,-1.4373
138,-1.0852,-1.5155
139,-1.1706,-1.5932
140,-1.2569,-1.6707
141,-1.3442,-1.7479
142,-1.432,-1.8244
143,-1.5203,-1.9002
144,-1.6093,-1.9751
145,-1.6987,-2.0492
146,-1.7879,-2.1218
147,-1.877,-2.1925
148,-1.9665,-2.2621
149,-2.0563,-2.3306
150,-2.147,-2.3978
151,-2.2393,-2.464
152,-2.3325,-2.5286
153,-2.4269,-2.5918
154,-2.5228,-2.6536
155,-2.6206,-2.7142
156,-2.7195,-2.7732
157,-2.8194,-2.8304
158,-2.921,-2.8862
159,-3.0243,-2.9404
160,-3.129,-2.9931
161,-3.2353,-3.0444
162,-3.3433,-3.0943
163,-3.453,-3.1429
164,-3.5638,-3.1902
165,-3.6755,-3.2359
166,-3.7878,-3.28
167,-3.9006,-3.3225
168,-4.0142,-3.3632
169,-4.128,-3.4021
170,-4.242,-3.4391
171,-4.3567,-3.4742
172,-4.4718,-3.507
173,-4.5875,-3.5377
174,-4.7041,-3.5661
175,-4.8221,-3.5923
176,-4.9413,-3.6161
177,-5.0606,-3.6373
178,-5.1799,-3.6559
179,-5.2996,-3.6717
180,-5.4191,-3.6847
181,-5.5383,-3.6947
182,-5.6574,-3.7018
183,-5.7767,-3.7056
184,-5.8961,-3.706
185,-6.0155,-3.7033
186,-6.1348,-3.6973
187,-6.2535,-3.6879
188,-6.372,-3.6749
189,-6.4903,-3.6582
190,-6.6076,-3.6378
191,-6.7241,-3.6137
192,-6.8403,-3.5855
193,-6.9558,-3.5531
194,-7.0705,-3.5166
195,-7.1841,-3.4761
196,-7.2954,-3.4321
197,-7.4041,-3.385
198,-7.5104,-3.3344
199,-7.6146,-3.2799
200,-7.7163,-3.222
201,-7.8153,-3.1606
202,-7.9121,-3.095
203,-8.0068,-3.0252
204,-8.0989,-2.9517
205,-8.1881,-2.8751
206,-8.2748,-2.7948
207,-8.3593,-2.7106
208,-8.4412,-2.6233
209,-8.5206,-2.533
210,-8.5976,-2.44
211,-8.6721,-2.3445
212,-8.7444,-2.2462
213,-8.8145,-2.1457
214,-8.8823,-2.0432
215,-8.948,-1.9395
216,-9.0115,-1.8347
217,-9.073,-1.7287
218,-9.1327,-1.6214
219,-9.1901,-1.5128
220,-9.2456,-1.404
221,-9.2992,-1.2952
222,-9.3497,-1.1864
223,-9.3955,-1.0777
224,-9.4352,-0.96927
225,-9.4673,-0.8613
226,-9.4913,-0.75388
227,-9.507,-0.64763
228,-9.514,-0.54271
229,-9.5124,-0.43836
230,-9.5026,-0.33481
231,-9.4852,-0.23298
232,-9.4608,-0.13267
233,-9.4301,-0.033978
234,-9.3935,0.063768
235,-9.3521,0.15966
236,-9.3068,0.25348
237,-9.2587,0.34532
238,-9.2092,0.43558
239,-9.1588,0.52408
240,-9.1076,0.61108
241,-9.056,0.69658
242,-9.0053,0.78015
243,-8.9561,0.86158
244,-8.9083,0.94134
245,-8.8625,1.0191
246,-8.8184,1.0949
247,-8.7752,1.1693
248,-8.7327,1.2425
249,-8.6904,1.3147
250,-8.6481,1.3857
251,-8.6058,1.4555
252,-8.5634,1.5235
253,-8.521,1.5896
254,-8.4777,1.6539
255,-8.4332,1.7168
256,-8.3874,1.7784
257,-8.3402,1.8389
258,-8.2916,1.8982
259,-8.2412,1.9566
260,-8.1892,2.0138
261,-8.1354,2.0699
262,-8.0794,2.1251
263,-8.0208,2.18
264,-7.9601,2.2341
265,-7.8973,2.2874
266,-7.8322,2.3403
267,-7.7647,2.3924
268,-7.6947,2.4438
269,-7.6229,2.4943
270,-7.5492,2.5437
271,-7.473,2.5923
272,-7.3938,2.6403
273,-7.3115,2.6875
274,-7.2262,2.7338
275,-7.1378,2.7792
276,-7.0465,2.8233
277,-6.9531,2.8659
278,-6.8581,2.9067
279,-6.7611,2.946
280,-6.6613,2.9836
281,-6.5591,3.0191
282,-6.4545,3.0525
283,-6.3481,3.0836
284,-6.2402,3.1124
285,-6.1305,3.1386
286,-6.0189,3.1621
287,-5.9068,3.1828
288,-5.7946,3.2006
289,-5.6821,3.2152
290,-5.5699,3.2268
291,-5.4581,3.2351
292,-5.3463,3.24
293,-5.2352,3.2418
294,-5.125,3.2403
295,-5.0159,3.2357
296,-4.9078,3.2279
297,-4.8006,3.217
298,-4.6945,3.2029
299,-4.5893,3.1858
300,-4.4847,3.1656
301,-4.3806,3.1422
302,-4.2772,3.1157
303,-4.1749,3.0864
304,-4.0739,3.0547
305,-3.9742,3.0203
306,-3.8752,2.9831
307,-3.7777,2.9435
308,-3.6818,2.9019
309,-3.5872,2.8581
310,-3.4938,2.812
311,-3.4024,2.7642
312,-3.3129,2.7147
313,-3.2248,2.6633
314,-3.1383,2.6103
315,-3.0533,2.5557
316,-2.9697,2.4995
317,-2.888,2.4423
318,-2.8081,2.3845
319,-2.7295,2.3261
320,-2.6518,2.2671
321,-2.5746,2.2075
322,-2.4976,2.1471
323,-2.4207,2.0859
324,-2.3431,2.0235
325,-2.2653,1.96
326,-2.1873,1.8955
327,-2.1095,1.83
328,-2.0318,1.7642
329,-1.9545,1.6981
330,-1.878,1.6317
331,-1.802,1.5644
332,-1.7261,1.496
333,-1.65,1.4263
334,-1.5744,1.3554
335,-1.4996,1.2836
336,-1.4253,1.2105
337,-1.3512,1.1363
338,-1.2777,1.0612
339,-1.2046,0.98505
340,-1.1313,0.90804
341,-1.0582,0.82974
342,-0.98538,0.74973
343,-0.91292,0.66855
344,-0.84075,0.58673
345,-0.76902,0.50415
346,-0.69803,0.42168
347,-0.62774,0.33973
348,-0.55793,0.25732
349,-0.48829,0.17475
350,-0.41823,0.091625
351,-0.34747,0.0076949
352,-0.27652,-0.076375
353,-0.20542,-0.15956
354,-0.13373,-0.24252
355,-0.060895,-0.32608
356,0.013348,-0.41026
357,0.088564,-0.49454
358,0.16497,-0.57924
359,0.24201,-0.66361
360,0.31932,-0.74717
361,0.39693,-0.83011
362,0.47495,-0.91282
363,0.5537,-0.9952
364,0.63342,-1.0769
365,0.71366,-1.1579
366,0.79462,-1.2384
367,0.87651,-1.3185
368,0.95938,-1.3985
369,1.043,-1.4778
370,1.1275,-1.5565
371,1.2134,-1.6349
372,1.3006,-1.7127
373,1.3891,-1.7897
374,1.4788,-1.8661
375,1.5689,-1.9414
376,1.6591,-2.0152
377,1.7498,-2.0876
378,1.8413,-2.1588
379,1.9333,-2.2283
380,2.0258,-2.2966
381,2.1195,-2.3638
382,2.2145,-2.4302
383,2.3105,-2.4956
384,2.4077,-2.5597
385,2.506,-2.6225
386,2.6057,-2.6842
387,2.7071,-2.7449
388,2.8101,-2.8046
389,2.9139,-2.8631
390,3.0185,-2.9201
391,3.124,-2.9758
392,3.2303,-3.0299
393,3.3378,-3.0825
394,3.4468,-3.1339
395,3.5565,-3.1837
396,3.6664,-3.2317
397,3.7772,-3.2779
398,3.8891,-3.3224
399,4.0027,-3.3654
400,4.1173,-3.4068
401,4.2329,-3.4462
402,4.35,-3.4838
403,4.469,-3.5195
404,4.5899,-3.5531
405,4.7125,-3.5846
406,4.8364,-3.6137
407,4.9611,-3.6403
408,5.0865,-3.6641
409,5.2126,-3.6849
410,5.3392,-3.7027
411,5.4656,-3.7172
412,5.5916,-3.7284
413,5.7176,-3.7358
414,5.843,-3.7396
415,5.9677,-3.7394
416,6.0919,-3.7351
417,6.2163,-3.7266
418,6.3404,-3.7136
419,6.4632,-3.6966
420,6.5844,-3.6754
421,6.7041,-3.65
422,6.8218,-3.6204
423,6.9375,-3.5869
424,7.0513,-3.5492
425,7.1634,-3.5072
426,7.2736,-3.4607
427,7.3821,-3.4099
428,7.4886,-3.3549
429,7.593,-3.2958
430,7.6955,-3.2324
431,7.7962,-3.1646
432,7.8949,-3.0931
433,7.9913,-3.0179
434,8.086,-2.9388
435,8.1784,-2.856
436,8.2687,-2.7696
437,8.3569,-2.6797
438,8.4432,-2.5864
439,8.5268,-2.491
440,8.6077,-2.3939
441,8.6859,-2.2952
442,8.761,-2.1956
443,8.8332,-2.0951
444,8.9028,-1.9932
445,8.9701,-1.8898
446,9.035,-1.7856
447,9.0979,-1.6802
448,9.1595,-1.5741
449,9.2201,-1.4682
