,x,y
0,9.4991,0.001623
1,9.4941,0.010745
2,9.4846,0.027271
3,9.4713,0.050016
4,9.4548,0.07823
5,9.4351,0.11179
6,9.4127,0.14953
7,9.3884,0.19062
8,9.362,0.23497
9,9.3339,0.28187
10,9.3042,0.3313
11,9.2734,0.38235
12,9.242,0.43427
13,9.2097,0.48718
14,9.1768,0.54071
15,9.1431,0.59528
16,9.1089,0.6502
17,9.0746,0.70491
18,9.0397,0.76008
19,9.0047,0.81524
20,8.9696,0.86992
21,8.9343,0.92475
22,8.8986,0.97947
23,8.8624,1.0344
24,8.8259,1.0891
25,8.7889,1.1438
26,8.7516,1.198
27,8.714,1.252
28,8.6763,1.3053
29,8.6382,1.3582
30,8.5999,1.4105
31,8.5611,1.4626
32,8.522,1.514
33,8.483,1.5643
34,8.4438,1.6141
35,8.4046,1.6631
36,8.3648,1.7117
37,8.3248,1.7593
38,8.2844,1.8063
39,8.2439,1.8522
40,8.2033,1.897
41,8.1629,1.9404
42,8.1224,1.9829
43,8.0813,2.0248
44,8.0402,2.0654
45,7.9989,2.1052
46,7.9571,2.1444
47,7.9148,2.1826
48,7.872,2.2198
49,7.8286,2.2561
50,7.7845,2.2917
51,7.7401,2.3265
52,7.6959,2.3602
53,7.6513,2.3931
54,7.6067,2.4248
55,7.5621,2.4553
56,7.5171,2.485
57,7.4716,2.514
58,7.4254,2.5424
59,7.3786,2.5699
60,7.3309,2.5968
61,7.2827,2.623
62,7.2337,2.6484
63,7.1842,2.6729
64,7.1338,2.6967
65,7.0828,2.7196
66,7.0305,2.7419
67,6.9775,2.7636
68,6.9241,2.7845
69,6.8702,2.8046
70,6.8156,2.8238
71,6.76,2.8422
72,6.7037,2.8598
73,6.6464,2.8765
74,6.5886,2.8923
75,6.5302,2.9074
76,6.4718,2.9214
77,6.413,2.9347
78,6.3532,2.9471
79,6.2931,2.9587
80,6.2324,2.9695
81,6.1709,2.9794
82,6.1089,2.9885
83,6.046,2.9967
84,5.9827,3.0039
85,5.9185,3.0103
86,5.8538,3.016
87,5.7894,3.0208
88,5.7249,3.0248
89,5.66,3.0277
90,5.594,3.0295
91,5.5277,3.0303
92,5.4616,3.0303
93,5.3955,3.0294
94,5.3296,3.0276
95,5.2638,3.0246
96,5.1985,3.0207
97,5.1331,3.016
98,5.068,3.0106
99,5.0025,3.0047
100,4.9369,2.9984
101,4.8706,2.9914
102,4.8039,2.9838
103,4.7375,2.9758
104,4.6709,2.9672
105,4.6041,2.9581
106,4.5368,2.9485
107,4.4693,2.9385
108,4.4013,2.928
109,4.3332,2.9171
110,4.2648,2.9059
111,4.1958,2.8941
112,4.1266,2.882
113,4.057,2.8692
114,3.9869,2.8556
115,3.9171,2.8413
116,3.8472,2.8261
117,3.7779,2.8105
118,3.7091,2.7943
119,3.641,2.7775
120,3.573,2.76
121,3.5055,2.7417
122,3.4377,2.7221
123,3.37,2.7014
124,3.3025,2.6799
125,3.2351,2.6569
126,3.168,2.6328
127,3.1006,2.6075
128,3.0338,2.5816
129,2.967,2.5546
130,2.9008,2.5268
131,2.8348,2.4978
132,2.7696,2.4681
133,2.7051,2.4376
134,2.6414,2.4064
135,2.5779,2.3741
136,2.5149,2.3412
137,2.4533,2.308
138,2.3923,2.274
139,2.3318,2.2393
140,2.2717,2.2034
141,2.2122,2.1667
142,2.1536,2.1293
143,2.0961,2.0917
144,2.0391,2.0535
145,1.9831,2.0152
146,1.9276,1.9763
147,1.8726,1.9368
148,1.8175,1.8962
149,1.7622,1.8543
150,1.7063,1.8109
151,1.6491,1.7654
152,1.5904,1.7175
153,1.5293,1.6661
154,1.4654,1.6109
155,1.399,1.5529
156,1.331,1.4927
157,1.2617,1.4306
158,1.1914,1.3668
159,1.1205,1.3016
160,1.0494,1.2355
161,0.97765,1.1683
162,0.90512,1.0993
163,0.83216,1.0286
164,0.7597,0.95746
165,0.68769,0.88516
166,0.61556,0.81103
167,0.54334,0.73629
168,0.47132,0.66093
169,0.40014,0.58547
170,0.32942,0.50976
171,0.25869,0.43368
172,0.18777,0.35724
173,0.11681,0.27997
174,0.046132,0.20192
175,-0.024598,0.12303
176,-0.095294,0.043826
177,-0.16512,-0.035183
178,-0.23431,-0.11407
179,-0.30306,-0.19324
180,-0.37105,-0.27211
181,-0.43855,-0.35141
182,-0.5063,-0.43182
183,-0.57436,-0.51269
184,-0.64256,-0.5935
185,-0.70993,-0.67342
186,-0.77686,-0.75278
187,-0.84397,-0.83237
188,-0.91108,-0.91258
189,-0.9775,-0.99266
190,-1.044,-1.0729
191,-1.1109,-1.154
192,-1.1779,-1.2355
193,-1.2451,-1.3174
194,-1.3128,-1.4004
195,-1.3809,-1.4843
196,-1.4488,-1.5678
197,-1.5166,-1.6513
198,-1.5854,-1.7348
199,-1.6543,-1.8177
200,-1.7236,-1.8997
201,-1.7941,-1.9807
202,-1.8662,-2.0602
203,-1.939,-2.1384
204,-2.0127,-2.2153
205,-2.0869,-2.2904
